Especie,Frecuencia
glutathione transferase,2
mRNA for,3
mays mRNA,1
aestivum mRNA,6
papaya mRNA,1
pacificus glutathione,1
GST2 gene,1
musculus glutathione,1
sapiens glutathione,2
Islandica partial,1
thaliana mRNA,1
myosuroides mRNA,7
max glutathione,1
mirabilis glutathione,1
longan cultivar,1
procera glutathione,1
benthamiana glutathione,1
rigidum mRNA,1
maritima glutathione,1
camphoratus glutathione,1
dirus glutathione,1
idaeusalis glutathione,1
sinensis glutathione,2
brassicicola strain,1
chrysogenum glutathione,1
malachiteum glutathione,2
odoratum Glutathione,1
verhagenii glutathione,1
concentricum Glutathione,1
alfredii Glutathione,1
vespertilionis glutathione,1
elegans Glutathione,4
marina GST,1
affinis glutathione,2
jonesii glutathione,1
rogersii glutathione,1
trugodes glutathione,1
hormaechei subsp.,1
fragiforme glutathione,1
loculata glutathione,1
truncatum glutathione,2
vernicosa glutathione,1
serialis glutathione,1
typhae glutathione,2
rosea glutathione,1
takamizusanense Glutathione,14
caldariorum glutathione,1
immitis RS,2
capsulatum G186AR,2
dermatitidis ER-3,2
versicolor FP-101664,1
edodes glutathione,1
karsti glutathione,1
rosae glutathione,1
exigua glutathione,1
brunnea f.,2
melanogenum CBS,1
berberidis CBS,2
fijiensis CBS,1
